,R2,R1,R3,R4,R5,R6
0,"La ansiedad sirve para prevenir el peligro que presenta una situación futura y te prepara para evitar daños, generando malestares como sensación de falta de aire al respirar, desorganización de tu situación rutinaria o insomnio.","Respuesta: La ansiedad es como estar desequilibrado emocionalmente, se sufre cuando la energía no está equilibrada y te sientes triste o preocupado.","Creo que la forma más eficaz de prevenir los trastornos de ansiedad es evadirse del problema, distraerse con otras actividades y haciéndole ver algo que te haría feliz. Así no tendrás que pensar en la ansiedad y te resultaría más fácil controlarla.",La activación fisiológica es como cuando nos cambia el cuerpo al tener nervios. Se relaciona con la ansiedad porque es como si estuviéramos listos para responder ante algo.,Creo que las experiencias y creencias personales pueden acumularse y empeorar la ansiedad. También puede depender de nuestras experiencias el nivel de ansiedad.,Cuando me siento ansioso intento respirar profundamente y hago algo para tratar de distraer mi mente.
1,"Respuesta: La ansiedad solo sirve para causar problemas y preocupación, y para estar siempre preocupado.",Una sensación desagradable de tensión o malestar que se produce cuando estamos preocupados o nerviosos.,"Para prevenir los trastornos de ansiedad, creo que lo mejor es tratar de evitar los problemas. Tratar de no pensar en ellos para no aumentar la ansiedad. También puede ser buena idea distraerse con otras cosas que nos ayuden a relajarnos y que nos impidan pensar en el problema. Finalmente, realizar algo que nos haga felicitates y nos distraiga.",La activación fisiológica es como el cuerpo reacciona a la ansiedad. Cosa como sentir tu corazón latir y el cuerpo moverse a cada una de sus ansiedades.,"Creo que las creencias y las experiencias personales son fácilmente acumulables y generan ansiedad. Dependiendo de mi experiencia, mi nivel de ansiedad puede ser distinto.",Cuando tengo ansiedad intento no pensar en ello o me distraigo.
2,"La ansiedad ayuda a prepararse para situaciones desagradables. Aún así, es un enfermedad que causa desorganización en la vida cotidiana y malestar físico como el insomnio.",Respuesta con conocimiento bajo: Preocupación exagerada acerca de algo.,"Word Response: Creo que lo mejor es distraerte con actividades positivas para reducir la ansiedad. Si le das mucho vueltas a las cosas, la ansiedad puede aumentar.",La activación fisiológica es la reacción de nuestro cuerpo a la ansiedad. Es como si tu cuerpo se despiertara para decirte que estás ansioso.,"Creo que las creencias y las experiencias son importantes para la ansiedad, porque pueden aumentarla, dependiendo de individualmente.",Intento relajarme y respirar profundamente. O me distraigo para no pensar en ello.
3,"La ansiedad dificulta tu día a día y te hace sentir mal, puede llevar a situaciones como el insomnio o el desajuste en tu vida cotidiana.",Respuesta: Un trastorno mental que te hace estar preocupado.,"Creo que para prevenir los trastornos de ansiedad lo mejor es hacer cosas que nos hagan felices y no pensar en los problemas, así se disipa la ansiedad.",La activación fisiológica es cuando tu cuerpo reacciona a la ansiedad de alguna forma. Tu cuerpo empieza a actuar de una forma incontrolable mientras sientes ansiedad. Esto puede ayudarte a moverte más rápido.,"Creo que la experiencia personal influye en la ansiedad. La gente vive la ansiedad de manera diferente y según tu pasado, te puede afectar más o menos.","Cuando me siento ansioso, intento respirar profundamente y despejar mi mente. También trato de no pensar en ello y desviarme hacia otras cosas."
4,La ansiedad es algo desagradable que no sirve para nada y solo causa malestar.,Respuesta conocimiento bajo: Preocupación y miedo por alguna situación o problema.,"La mejor forma de prevenir los trastornos de ansiedad es evadirse del problema, distraerse con otras cosas que nos relajen y tratar de no sobrepensar todo. Hacer cosas que nos gusten y nos hagan sentir bien también es una buena forma de evitar la ansiedad.",La activación fisiológica es como una respuesta con la ansiedad. Se relaciona con sentir ciertas cosas en tu cuerpo cuando estás ansioso.,"Supongo que algo tienen que ver, quizás la ansiedad dependa de nuestras experiencias y lo que creemos.","Cuando me siento ansioso, intento olvidarme de la situación y distraerme con otras cosas."
5,La ansiedad solo sirve para darle preocupación al individuo. Genera situaciones desagradables y sensaciones como el insomnio y la falta de aire al respirar.,Es algo relacionado con la preocupación por la que no sabemos lo que pasará.,"Creo que la mejor forma de prevenir los trastornos de ansiedad es no sobrepensar las cosas, evadir el problema, distraerse con actividades que te relajen y hacer cosas que te hagan feliz.",La activación fisiológica es una reacción que nuestro cuerpo hace cuando estamos ansiosos. Es como si automaticamente nuestro cuerpo quisiera hacer algo para combatir la ansiedad.,"Solo pienso que la ansiedad depende de las experiencias personales, porque cada quien sufre de diferentes maneras.","Intento no pensar mucho, respirar profundamente y desahogarme."
6,Respuesta: La ansiedad sirve para hacer que la persona caiga en un constante estado de preocupación y que no sea capaz de encontrar una solución.,Respuesta con conocimiento bajo: Una sensación de inquietud e incertidumbre que te crea tensión.,"Creo que la mejor forma de prevenir los trastornos de ansiedad es tratar de distraerse de los problemas y no pensar demasiado en ellos. Trata de pasar tiempo haciendo cosas que te gusten, como cantar, leer algo, salir con amigos o incluso simplemente tomarse un tiempo para descansar y relajarse.",La activación fisiológica es cuando nuestro cuerpo reacciona a la ansiedad y tiene reacciones incontrolables. A veces nos hace responder más rápido.,"Creo que tus creencias y experiencias influyen en tu ansiedad, es como si tuvieras un grado de ansiedad según la forma en que interprete esas cosas.",Intento relajarme un poco pero no siempre funciona. A veces es mejor cambiar de actividad.
7,"Respuesta: La ansiedad es una mala cosa que nos hace sufrir, nos causa nervios y cansancios.",Respuesta de conocimeinto bajo: Una enfermedad mental que produce nervios y preocupación sobre cosas.,"Creo que la mejor forma de prevenir los trastornos de ansiedad es no sobrepensar las cosas para no generar ansiedad innecesaria. También intentar evadir el problema cuando sea posible, y distraerse con actividades que nos ayuden a relajarnos.","La activación fisiológica es algo que sucede cuando estás ansioso, tu cuerpo tiene una reacción que no puedes controlar.",Creo que las creencias y la experiencia influyen en el nivel de ansiedad que una persona puede sentir. Probablemente afecta a cómo una persona se prepara para lidiar con situaciones o situaciones estresantes.,Cuando me siento ansioso intento relajarme y respirar profundo para calmarme y sacarme esos pensamientos de la cabeza.
8,"La ansiedad nos hace sentir mal, nos provoca insomnio y falta de aire cuando respiramos.",Respuesta: La ansiedad es algo malo que sucede cuando uno está estresado.,"Creo que la mejor forma de tratar un trastorno de ansiedad es evadirse de él y distraerse con otras actividades, como hacer cosas que nos hagan felices. Esto nos ayuda a mantener la mente ocupada y no permitir que el problema sea pensado y causa más ansiedad.",La activación fisiológica es algo innato y con lo que nuestros cuerpos actúan ante la ansiedad. Es como un impulso natural que actúa sin control para lidiar con algo que nos angustia.,Creo que la ansiedad se acumula con tus experiencias personales y tus creencias. Depende de la situación en la que te encuentras para saber la cantidad de ansiedad que tienes.,"Cuando tengo ansiedad, a veces intento respirar profundo y recordar que la situación no es tan grave. Trato de distraerme y ocuparme haciendo otra cosa."
9,"Respuesta: La ansiedad es algo malo, no ayuda a las personas en ninguna situación. Todo lo que hace es darte problemas como no poder dormir o desorganizarse.",Preocupación y desesperación por lo que sucederá.,"Creo que lo mejor para prevenir los trastornos de ansiedad es evitar pensar demasiado en ello o intentar no pensar en ello, es decir, distraerse con otras actividades como salir a pasear o ver una película para evadirse del problema.",La activación fisiológica es como tu cuerpo reacciona a la ansiedad. Es la manera en la  cual tu cuerpo responde de forma impulsiva a los estímulos que provienen de la ansiedad.,"Creo que sí influyen para aumentar la ansiedad, como si acumularas problemas. No sé mucho sobre el tema.",Intento no pensar mucho y distraerme.
10,Respuesta: Una de las funciones de la ansiedad es generar malestar y estrés para el individuo.,Preocupación incontrolable por los resultados.,Yo creo que la mejor forma de prevención para los trastornos de ansiedad es evitando pensarles mucho. Distraerse con otras actividades o hacer cosas que te hagan feliz. Tratar de no pensar en el problema.,"La activación fisiológica es como tu cuerpo ""cambia"" cuando estás ansioso. Causando responsas sin tu control.","Creo que la ansiedad depende mucho de la forma en que cada persona ve las cosas. Creencias y experiencias personales pueden influenciar en la ansiedad, dependiendo de quién seas.","Me relajo y respiro, trato de no pensar mucho en eso."
11,"No sé, pero sí sé que es un problema para las personas, provoca problemas en tu salud y hasta puede causar problemas para tu funcionamiento normal.",Preocupación y nerviosismo emocional que no se sabe controlar.,"Creo que lo mejor para prevenir los trastornos de ansiedad es avoid el problema, para no tener que lidiar con él. Intentar distraerse con otras cosas y hacer cosas que te hagan feliz son buenas ideas también para evitar la ansiedad.","La activación fisiológica se relaciona con la respuesta de ansiedad porque es la forma en que nosotros nos sentimos cuando estamos ansiosos, impulsos, reacciones físicas e incontrolables.","Creo que las creencias y experiencia personales influyen mucho en la ansiedad, por lo que pueden afectar la manera de sentirla.",Intento relajarme y respirar profundamente.
12,"La ansiedad nos lleva a tratar de evitar situaciones desagradables en el futuro, provocando insomnio, fatiga, sensación de ahogo, desorganización, entre otras cosas.",Respuesta con conocimiento bajo: Pensamiento negativo que te hace sentir estresado y te provoca inquietud.,Creo que la forma más eficaz para prevenir los trastornos de ansiedad es evitarlo pensando en otras cosas y distrayendote haciendo cosas que te hagan feliz.,"La activación fisiológica es cuando tu cuerpo reacciona de alguna manera a la ansiedad, como si tuvieras algún impulso fuera de tu control.",Creo que la ansiedad depende de la forma en la que uno vive sus creencias y experiencias personales.,Me relajo un poco y trato de no pensar en ello.
13,"La ansiedad hace que uno piense en cómo puede evitar algo desagradable que pueda pasar en el futuro, a veces resulta en insomnio, sensación de ahogo, etc. y hace que sea más difícil mantener una rutina.",Respuesta: La ansiedad es como desajuste emocional con un pensamiento o preocupación no necesariamente justificadas.,"Creo que la forma más eficaz de prevenir los trastornos de ansiedad es evadirse del problema si puedes, o distraerte con otras actividades para olvidarte por un momento. Así aliviarás el peso de la ansiedad.","La activacion fisiológica es cuando tu cuerpo reacciona al estar ansioso, como impulsos incontrolables, para ayudarnos a actuar más rápido.",Supongo que influye porque cada uno experimenta diferente ansiedad según sus creencias.,Cuándo me siento ansioso intento distraerme con otras cosas o respirar profundamente.
14,"Respuesta: La ansiedad afecta negativamente al individuo haciéndole sentir nervios, falta de concentración y falta de seguridad.",Es un sentimiento extraño que te hace sentir mal.,Creo que lo mejor para prevenir los trastornos de la ansiedad es distraerse y hacer actividades que alegren el día. También evitar pensar demasiado en ello y tener presente otros pensamientos y actividades. Esto te puede ayudar a reducir la ansiedad.,"La respuesta a la pregunta sería: La activación fisiológica es algo relacionado con la ansiedad, algo que está en tu cuerpo y que no puedes controlar.","Creo que las experiencias y creencias de cada persona desempeñan un papel importante en la ansiedad, porque lo que experimentas puede desencadenar emociones diferentes.","Me relajo, tomo aliento y trato de distraerme."
15,"Respuesta: La ansiedad sirve para hacernos volvernos locos, es una enfermedad que causa estrés y preocupación.",Es un trastorno mental dificil de entender y donde no controlas tus pensamientos ni emociones.,"Creo que la mejor forma de prevenir los trastornos de ansiedad es practicar lo que los ejemplos que me has dado han mencionado: no sobrepensar las cosas, evadirse del problema, distraerse con otras actividades y hacer cosas que me hagan feliz.",La activación fisiológica es algo que ocurre cuando nos sentimos ansiosos. Es como un impulso que nos hace hacer cosas sin que estemos conscientes.,"Creo que tu experiencia personal puede influir en la ansiedad. Si te ha pasado algo malo, es posible que tengas mas ansiedad.",Intétnto respirar hondo y no darle tanta importancia.
16,"Respuesta: La ansiedad es solo un problema para la gente, no tiene beneficio alguno.",Respuesta: Es un trastorno mental que causa preocupaciones y nervios,"Creo que la mejor manera de prevenir los trastornos de ansiedad es no sobrepensar las cosas y evadirse del problema si es posible. Puedes tratar de distraerte con actividades que te den tranquilidad y te impidan pensar en los problemas para no sentir aún más ansiedad. Finalmente, intentar hacer cosas que te hagan feliz podría ayudar.",La activación fisiológica es cuando nuestro cuerpo reacciona a la ansiedad de alguna manera. Es como si tuviéramos impulsos que no podemos controlar.,"Creo que las creencias y experiencias influyen mucho en la ansiedad, especialmente en cómo la percibimos. Uno puede actuar de distintas maneras dependiendo de esto.",Cuando me siento ansioso trato de encontrar alguna distracción para olvidar esos pensamientos.
17,Llamar la atención para que recuerdes evitar esa situación futura que te molesta.,Un sentimiento de miedo o preocupación que afecta la mente y el cuerpo.,"Creo que lo mejor para prevenir los trastornos de ansiedad es distraerse con otras actividades que nos tranquilicen y nos impidan pensar. Por otro lado, también es bueno tratar de evadirse del problema e intentar no sobrepensar demasiado para no generar más ansiedad. Intentar hacer cosas que nos hagan felices también puede ayudar.",La activación fisiológica es cuando nuestro cuerpo reacciona a la ansiedad. Nuestro cuerpo quiere hacer cosas a mayor velocidad y no podemos controlarlo.,"Creo que las experiencias personales influyen mucho a la ansiedad, sobre todo si lo que sientes no es común en otra persona.",Trato de respirar profundamente para calmarme.
18,"La ansiedad no sirve para nada, simplemente te hace sentirte mal y te da malas sensacines.",Sería algo como preocuparse demasiado por una situación o algo similar.,Creo que es importante distraerse con otras actividades para que la ansiedad no aumente. Realizar actividades que te hagan feliz o no sobrepensar las cosas porque eso generará más ansiedad. Evadirse del problema también ayudará para que la ansiedad se reduzca si no se está pensando en él.,"La activación fisiológica es cuando el cuerpo reacciona a la ansiedad, como algunos impulsos incontrolables o cosas que nos hacen hacer más rápido.",Creo que las creencias y experiencias personales contribuyen a tener ansiedad. Pueden influenciar en como una persona la siente y como puede controlarla.,"Cuando estoy ansioso intento relajarme un poco y evitar pensar en ello. Trato de respirar profundo, distraerme con otras cosas y mantenerme ocupado."
19,"La ansiedad no es más que algo malo para uno mismo. Te lleva a sentir malestar físico y mental. Sin duda, la ansiedad solo nos trae problemas, desorganizando nuestra rutina cotidiana.",Respuesta: La ansiedad es un problema que te preocupa mucho y que hace que sientas descontrol emocional.,"Creo que evadirse del problema puede ser una forma de prevención para los trastornos de ansiedad, ya que si no se tiene presente el problema la ansiedad no se activa. Además, también puede ser útil distraerse con alguna otra actividad para evitar el pensamiento en el problema.","La activación fisiológica es como el cuerpo reacciona a la ansiedad, como impulsos incontrolables o sentirse preparado para hacer algo.","Creo que tus creencias y experiencias influyen en la ansiedad. No sé cómo ni cuanto, pero hay alguna relación.",Cuando me siento ansioso intento no prestarle atención.
20,"Respuesta: La ansiedad produce muchas cosas malas en las personas, altera la rutina, provoca angustia e insomnio.",Preocupación por cosas que pasan o pueden pasar.,"Creo que lo mejor es intentar distraerse y hacer actividades que te hagan feliz y te ayuden a mantener tu mente despejada, así podrás no sobrepensar y frenar los ataques de ansiedad.",La activación fisiológica es lo que nuestro cuerpo hace cuando nos sentimos ansiosos. Es como una respuesta de lucha o huida.,Creo que las creencias y experiencias personales influyen mucho en el nivel de ansiedad de una persona. Puede afectar si uno tiene mucha o poca ansiedad dependiendo de qué tan bien conozcan su situación.,Intento calmarme y distraerme de mi ansiedad.
21,"Respuesta: La ansiedad solo causa problemas en las personas como estrés, preocupación e incluso falta de sueño.",Una enfermedad mental que afecta la mente y el cuerpo y hace que uno se preocupe por cosas.,"Creo que la mejor forma de prevenir los trastornos de ansiedad es evitando el contacto con situaciones que los generen, como por ejemplo no sobrepensar las cosas porque generas mas ansiedad de esa manera, evitándolo de esta forma se controlaría la ansiedad. Tambien podrías intentar distraerte con otras actividades que te puedan tranquilizar y te impidan pensar y en su defecto hacer aquellas cosas que te hagan feliz.",La activación fisiológica ocurre cuando hay ansiedad. Las partes de nuestro cuerpo se vuelven más activas porque nuestra mente quiere responder a una situación. Esto causa reacciones psíquicas y cambios físicos en nosotros.,"Supongo que es como una acumulación de cosas, con experiencia personal y creencias afectando a algunos más que otros.",Intento distraerme haciendo otras cosas.
22,La ansiedad puede ser una sensación desagradable que hace que uno se sienta preocupado e incapaz de actuar correctamente.,"Respuesta con conocimiento bajo: Preocupacion, Trastorno emocional, Genera diferentes sintomas como aprension y falta de motivacion.",Creo que para prevenir los trastornos de ansiedad lo mejor que se puede hacer es intentar huir de las situaciones que los desencadenan y distraerse con cosas que te relajen. También tratar de evitar pensar demasiado sobre ello para no generar mas ansiedad.  Intentar hacer cosas que te hagan feliz ayuda también.,La activación fisiológica es como una reacción del cuerpo cuando estás ansioso. Es como un reflejo que el cuerpo hace ante la ansiedad.,"Supongo que son importantes, como el hecho de tener malos recuerdos que pueden afectar a como se siente una persona o que algunas situaciones en particular nos pueden crear ansiedad.",Intento sacarme la ansiedad haciendo otras cosas.
23,"Respuesta: La ansiedad es algo malo que nos hace no poder dormir, nos causa desorganizacion y no nos ayuda en nada.","Respuesta: La ansiedad es algo desagradable relacionado con los pensamientos, es algo que te angustia y preocupa.",Creo que lo mejor es intentar distraerse con otras actividades durante el día para reducir el estrés y la ansiedad. Evitar sobrepensar las cosas ayuda a reducirlas de algún modo y hacer cosas que te hagan sentir bien contribuye a tranquilizar los niveles de ansiedad.,"La activación fisiológica es cuando tu cuerpo reacciona y se prepara para enfrentar una situación desagradable. Se relaciona con la ansiedad porque muchas veces, el cuerpo no puede controlarse en situaciones que nos asusten.",Creo que la ansiedad depende mucho de las creencias de uno y de las experiencias vividas. Podría tener un efecto en cuanto a sus niveles de ansiedad.,"Cuando me encuentro con ansiedad intento respirar, pensar en otra cosa y tratar de distraerme."
24,"La ansiedad es una enfermedad mala para la gente ya que les molesta y les pone en situaciones complicadas. Ocasiona insomnio, sensación de falta de aire, desorganización y molestias constantes.",Respuesta: Una emoción o sentimiento desagradable que hace perder el control.,Creo que una de las formas de prevenir los trastornos de ansiedad es distraerse con actividades divertidas para conseguir mantener el ánimo alto. Así se podría evadir el problema por un tiempo.,"La activación fisiológica es como el cuerpo reacciona a las ansiedades, como impulsos incontrolables y cosas por el estilo.","Creo que nuestras vivencias y creencias influyen en la ansiedad, cambiando si tenemos más o menos.",Intento relajarme y respirar.
